feature_name,feature_group,description,data_type,allowed_timing,leakage_risk,current_implementation_status,missing_value_policy,expected_impact,feature_available_at,prediction_cutoff_at,is_available_before_cutoff,notes
kt_bullpen_innings_last_1,bullpen_usage_last_1_day,KT bullpen innings yesterday,number,before_game,low,planned,0,high,before_game,before first pitch,True,Completed prior games only.
kt_bullpen_innings_last_3,bullpen_usage_last_3_days,KT bullpen innings last 3 days,number,before_game,low,planned,0,high,before_game,before first pitch,True,Completed prior games only.
kt_bullpen_innings_last_5,bullpen_usage_last_5_days,KT bullpen innings last 5 days,number,before_game,low,planned,0,medium,before_game,before first pitch,True,Completed prior games only.
opponent_bullpen_innings_last_1,bullpen_usage_last_1_day,Opponent bullpen innings yesterday,number,before_game,low,planned,0,high,before_game,before first pitch,True,Completed prior games only.
opponent_bullpen_innings_last_3,bullpen_usage_last_3_days,Opponent bullpen innings last 3 days,number,before_game,low,planned,0,high,before_game,before first pitch,True,Completed prior games only.
opponent_bullpen_innings_last_5,bullpen_usage_last_5_days,Opponent bullpen innings last 5 days,number,before_game,low,planned,0,medium,before_game,before first pitch,True,Completed prior games only.
kt_closer_used_yesterday,bullpen_high_leverage_usage,KT closer appeared yesterday,boolean,before_game,low,planned,false,medium,before_game,before first pitch,True,Prior completed game only.
opponent_closer_used_yesterday,bullpen_high_leverage_usage,Opponent closer appeared yesterday,boolean,before_game,low,planned,false,medium,before_game,before first pitch,True,Prior completed game only.
kt_lineup_confirmed,lineup_confirmed,KT official lineup is available before cutoff,boolean,game_day_before_cutoff,medium,planned,false,high,game_day_before_cutoff,before first pitch,True,Only if source timestamp is before cutoff.
opponent_lineup_confirmed,lineup_confirmed,Opponent official lineup is available before cutoff,boolean,game_day_before_cutoff,medium,planned,false,high,game_day_before_cutoff,before first pitch,True,Only if source timestamp is before cutoff.
kt_top_order_stability_score,batting_order_stability,Similarity of KT top order to recent games,number,game_day_before_cutoff,medium,planned,null,medium,game_day_before_cutoff,before first pitch,True,Needs confirmed lineup.
kt_cleanup_hitter_available,key_hitter_absence,KT cleanup hitter availability flag,boolean,game_day_before_cutoff,medium,planned,unknown,medium,game_day_before_cutoff,before first pitch,True,Needs lineup/injury source.
kt_primary_catcher_starting,catcher_starting_status,KT primary catcher starts,boolean,game_day_before_cutoff,medium,planned,unknown,medium,game_day_before_cutoff,before first pitch,True,Needs lineup source.
stadium_name,stadium_context,Game stadium,category,before_game,low,available,unknown,medium,before_game,before first pitch,True,Schedule source.
kt_stadium_prior_win_rate,stadium_context,KT prior win rate at stadium,number,before_game,low,planned,0.5,medium,before_game,before first pitch,True,Prior games only.
kt_vs_opponent_at_stadium_prior_win_rate,stadium_context,KT prior win rate versus opponent at stadium,number,before_game,low,planned,0.5,medium,before_game,before first pitch,True,Prior games only.
kt_rest_days_before_game,travel_rest_context,KT rest days before game,number,before_game,low,available,1,medium,before_game,before first pitch,True,Existing schedule-derived feature.
opponent_rest_days_before_game,travel_rest_context,Opponent rest days before game,number,before_game,low,planned,1,medium,before_game,before first pitch,True,Schedule-derived.
kt_travel_after_away_series,travel_rest_context,KT travel after away series,boolean,before_game,low,planned,false,low,before_game,before first pitch,True,Schedule-derived.
opponent_travel_after_away_series,travel_rest_context,Opponent travel after away series,boolean,before_game,low,planned,false,low,before_game,before first pitch,True,Schedule-derived.
